num;question;a;b;c;d;solution;area_code;area;theme;image;Tags
104;Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund f\xfcr diese Entlassung sein?;Die Frau ist lange krank und arbeitsunf\xe4hig.;Die Frau kam oft zu sp\xe4t zur Arbeit.;Die Frau erledigt private Sachen w\xe4hrend der Arbeitszeit.;Die Frau bekommt ein Kind und ihr Chef wei\xdf das.;d;politik;Politik in der Demokratie;Recht und Alltag;-;
105;Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen in Deutschland?;Sie helfen alten Menschen bei der Stimmabgabe in der Wahlkabine.;Sie schreiben die Wahlbenachrichtigungen vor der Wahl.;Sie geben Zwischenergebnisse an die Medien weiter.;Sie z\xe4hlen die Stimmen nach dem Ende der Wahl.;d;politik;Politik in der Demokratie;Pflichten;-;
106;In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen?;Sie helfen Kindern und alten Menschen beim W\xe4hlen.;Sie schreiben Karten und Briefe mit der Angabe des Wahllokals.;Sie geben Zwischenergebnisse an Journalisten weiter.;Sie z\xe4hlen die Stimmen nach dem Ende der Wahl.;d;politik;Politik in der Demokratie;Pflichten;-;
107;F\xfcr wie viele Jahre wird der Bundestag in Deutschland gew\xe4hlt?;2 Jahre;4 Jahre;6 Jahre;8 Jahre;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
108;Bei einer Bundestagswahl in Deutschland darf jeder w\xe4hlen, der ...;in der Bundesrepublik Deutschland wohnt und w\xe4hlen m\xf6chte.;B\xfcrger / B\xfcrgerin der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.;seit mindestens 3 Jahren in der Bundesrepublik Deutschland lebt.;B\xfcrger / B\xfcrgerin der Bundesrepublik Deutschland ist und mindestens 21 Jahre alt ist.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
109;Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?;alle drei Jahre;alle vier Jahre;alle f\xfcnf Jahre;alle sechs Jahre;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
110;F\xfcr wie viele Jahre wird der Bundestag in Deutschland gew\xe4hlt?;2 Jahre;3 Jahre;4 Jahre;5 Jahre;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
111;In Deutschland darf man w\xe4hlen. Was bedeutet das?;Alle deutschen Staatsangeh\xf6rigen d\xfcrfen w\xe4hlen, wenn sie das Mindestalter erreicht haben.;Nur verheiratete Personen d\xfcrfen w\xe4hlen.;Nur Personen mit einem festen Arbeitsplatz d\xfcrfen w\xe4hlen.;Alle Einwohner und Einwohnerinnen in Deutschland m\xfcssen w\xe4hlen.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
112;Die Wahlen in Deutschland sind ...;speziell.;geheim.;berufsbezogen.;geschlechtsabh\xe4ngig.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
113;Wahlen in Deutschland gewinnt die Partei, die ...;die meisten Stimmen bekommt.;die meisten M\xe4nner mehrheitlich gew\xe4hlt haben.;die meisten Stimmen bei den Arbeitern / Arbeiterinnen bekommen hat.;die meisten Erststimmen f\xfcr ihren Kanzlerkandidaten / ihre Kanzlerkandidatin erhalten hat.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
114;An demokratischen Wahlen in Deutschland teilzunehmen ist ...;eine Pflicht.;ein Recht.;ein Zwang.;eine Last.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
115;Was bedeutet \x84aktives Wahlrecht\x93 in Deutschland?;Man kann gew\xe4hlt werden.;Man muss w\xe4hlen gehen.;Man kann w\xe4hlen.;Man muss zur Ausz\xe4hlung der Stimmen gehen.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
116;Wenn Sie bei einer Bundestagswahl in Deutschland w\xe4hlen d\xfcrfen, hei\xdft das ...;aktive Wahlkampagne.;aktives Wahlverfahren.;aktiver Wahlkampf.;aktives Wahlrecht.;d;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
117;Wie viel Prozent der Zweitstimmen m\xfcssen Parteien mindestens bekommen, um in den Deutschen Bundestag gew\xe4hlt zu werden?;3 %;4 %;5 %;6 %;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
118;Was regelt das Wahlrecht in Deutschland?;Wer w\xe4hlen darf, muss w\xe4hlen.;Alle die wollen, k\xf6nnen w\xe4hlen.;Wer nicht w\xe4hlt, verliert das Recht zu w\xe4hlen.;Wer w\xe4hlen darf, kann w\xe4hlen.;d;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
119;Wahlen in Deutschland sind frei. Was bedeutet das?;Alle verurteilten Straft\xe4ter / Straft\xe4terinnen d\xfcrfen nicht w\xe4hlen.;Wenn ich w\xe4hlen gehen m\xf6chte, muss mein Arbeitgeber / meine Arbeitgeberin mir frei geben.;Jede Person kann ohne Zwang entscheiden, ob sie w\xe4hlen m\xf6chte und wen sie w\xe4hlen m\xf6chte.;Ich kann frei entscheiden, wo ich w\xe4hlen gehen m\xf6chte.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
120;Das Wahlsystem in Deutschland ist ein ...;Zensuswahlrecht.;Dreiklassenwahlrecht.;Mehrheits- und Verh\xe4ltniswahlrecht.;allgemeines M\xe4nnerwahlrecht.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
121;Eine Partei m\xf6chte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an W\xe4hlerstimmen haben. Das hei\xdft ...;5 %-H\xfcrde.;Zulassungsgrenze.;Basiswert.;Richtlinie.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
122;Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind ...;frei, gleich, geheim.;offen, sicher, frei.;geschlossen, gleich, sicher.;sicher, offen, freiwillig.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
123;Was ist in Deutschland die \x845 %-H\xfcrde\x93?;Abstimmungsregelung im Bundestag f\xfcr kleine Parteien;Anwesenheitskontrolle im Bundestag f\xfcr Abstimmungen;Mindestanteil an W\xe4hlerstimmen, um ins Parlament zu kommen;Anwesenheitskontrolle im Bundesrat f\xfcr Abstimmungen;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
124;Die Bundestagswahl in Deutschland ist die Wahl ...;des Bundeskanzlers / der Bundeskanzlerin.;der Parlamente der L\xe4nder.;des Parlaments f\xfcr Deutschland.;des Bundespr\xe4sidenten / der Bundespr\xe4sidentin.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
125;In einer Demokratie ist eine Funktion von regelm\xe4\xdfigen Wahlen, ...;die B\xfcrger und B\xfcrgerinnen zu zwingen, ihre Stimme abzugeben.;nach dem Willen der W\xe4hlermehrheit den Wechsel der Regierung zu erm\xf6glichen.;im Land bestehende Gesetze beizubehalten.;den Armen mehr Macht zu geben.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
126;Was bekommen wahlberechtigte B\xfcrger und B\xfcrgerinnen in Deutschland vor einer Wahl?;eine Wahlbenachrichtigung von der Gemeinde;eine Wahlerlaubnis vom Bundespr\xe4sidenten / von der Bundespr\xe4sidentin;eine Benachrichtigung von der Bundesversammlung;eine Benachrichtigung vom Pfarramt;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
127;Warum gibt es die 5 %-H\xfcrde im Wahlgesetz der Bundesrepublik Deutschland? Es gibt sie, weil ...;die Programme von vielen kleinen Parteien viele Gemeinsamkeiten haben.;die B\xfcrger und B\xfcrgerinnen bei vielen kleinen Parteien die Orientierung verlieren k\xf6nnen.;viele kleine Parteien die Regierungsbildung erschweren.;die kleinen Parteien nicht so viel Geld haben, um die Politiker und Politikerinnen zu bezahlen.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
128;Parlamentsmitglieder, die von den B\xfcrgern und B\xfcrgerinnen gew\xe4hlt werden, nennt man ...;Abgeordnete.;Kanzler / Kanzlerinnen.;Botschafter / Botschafterinnen.;Ministerpr\xe4sidenten / Ministerpr\xe4sidentinnen.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
129;Vom Volk gew\xe4hlt wird in Deutschland ...;der Bundeskanzler / die Bundeskanzlerin.;der Ministerpr\xe4sident / die Ministerpr\xe4sidentin eines Bundeslandes.;der Bundestag.;der Bundespr\xe4sident / die Bundespr\xe4sidentin.;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
130;Welcher Stimmzettel w\xe4re bei einer Bundestagswahl g\xfcltig?;1;2;3;4;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;frage_130;image
131;In Deutschland ist ein B\xfcrgermeister / eine B\xfcrgermeisterin ...;der Leiter / die Leiterin einer Schule.;der Chef / die Chefin einer Bank.;das Oberhaupt einer Gemeinde.;der / die Vorsitzende einer Partei.;c;politik;Politik in der Demokratie;Kommune;-;
132;Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?;Sie arbeiten als Soldaten / Soldatinnen.;Sie arbeiten freiwillig und unbezahlt in Vereinen und Verb\xe4nden.;Sie arbeiten in der Bundesregierung.;Sie arbeiten in einem Krankenhaus und verdienen dabei Geld.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
133;Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?;Der Ehemann w\xe4hlt f\xfcr seine Frau mit.;Man kann durch Briefwahl seine Stimme abgeben.;Man kann am Wahltag telefonisch seine Stimme abgeben.;Kinder ab dem Alter von 14 Jahren d\xfcrfen w\xe4hlen.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
134;Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was k\xf6nnen Sie machen, um die Buslinie zu erhalten?;Ich beteilige mich an einer B\xfcrgerinitiative f\xfcr die Erhaltung der Buslinie oder gr\xfcnde selber eine Initiative.;Ich werde Mitglied in einem Sportverein und trainiere Radfahren.;Ich wende mich an das Finanzamt, weil ich als Steuerzahler / Steuerzahlerin ein Recht auf die Buslinie habe.;Ich schreibe einen Brief an das Forstamt der Gemeinde.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
135;Wen vertreten die Gewerkschaften in Deutschland?;gro\xdfe Unternehmen;kleine Unternehmen;Selbst\xe4ndige;Arbeitnehmer und Arbeitnehmerinnen;d;politik;Politik in der Demokratie;Grundrechte;-;
136;Sie gehen in Deutschland zum Arbeitsgericht bei ...;falscher Nebenkostenabrechnung.;ungerechtfertigter K\xfcndigung durch Ihren Chef / Ihre Chefin.;Problemen mit den Nachbarn / Nachbarinnen.;Schwierigkeiten nach einem Verkehrsunfall.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
137;Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zust\xe4ndig?;das Familiengericht;das Strafgericht;das Arbeitsgericht;das Amtsgericht;c;politik;Politik in der Demokratie;Recht und Alltag;-;
138;Was kann ich in Deutschland machen, wenn mir mein Arbeitgeber / meine Arbeitgeberin zu Unrecht gek\xfcndigt hat?;weiter arbeiten und freundlich zum Chef / zur Chefin sein;ein Mahnverfahren gegen den Arbeitgeber / die Arbeitgeberin f\xfchren;K\xfcndigungsschutzklage erheben;den Arbeitgeber / die Arbeitgeberin bei der Polizei anzeigen;c;politik;Politik in der Demokratie;Recht und Alltag;-;
139;Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand ...;zu einer anderen Religion \xfcbertritt.;eine Straftat begangen hat und angeklagt wird.;eine andere Meinung als die der Regierung vertritt.;sein Auto falsch geparkt hat und es abgeschleppt wird.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
140;Was macht ein Sch\xf6ffe / eine Sch\xf6ffin in Deutschland? Er / Sie ...;entscheidet mit Richtern / Richterinnen \xfcber Schuld und Strafe.;gibt B\xfcrgern / B\xfcrgerinnen rechtlichen Rat.;stellt Urkunden aus.;verteidigt den Angeklagten / die Angeklagte.;a;politik;Politik in der Demokratie;Recht und Alltag;-;
141;Wer ber\xe4t in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?;ein Rechtsanwalt / eine Rechtsanw\xe4ltin;ein Richter / eine Richterin;ein Sch\xf6ffe / eine Sch\xf6ffin;ein Staatsanwalt / eine Staatsanw\xe4ltin;a;politik;Politik in der Demokratie;Recht und Alltag;-;
142;Was ist die Hauptaufgabe eines Richters / einer Richterin in Deutschland? Ein Richter / eine Richterin ...;vertritt B\xfcrger und B\xfcrgerinnen vor einem Gericht.;arbeitet an einem Gericht und spricht Urteile.;\xe4ndert Gesetze.;betreut Jugendliche vor Gericht.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
143;Ein Richter / eine Richterin in Deutschland geh\xf6rt zur ...;Judikative.;Exekutive.;Operative.;Legislative.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
144;Ein Richter / eine Richterin geh\xf6rt in Deutschland zur ...;vollziehenden Gewalt.;rechtsprechenden Gewalt.;planenden Gewalt.;gesetzgebenden Gewalt.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
145;In Deutschland wird die Staatsgewalt geteilt. F\xfcr welche Staatsgewalt arbeitet ein Richter / eine Richterin? F\xfcr die ...;Judikative.;Exekutive.;Presse.;Legislative.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
146;Wie nennt man in Deutschland ein Verfahren vor einem Gericht?;Programm;Prozedur;Protokoll;Prozess;d;politik;Politik in der Demokratie;Recht und Alltag;-;
147;Was ist die Arbeit eines Richters / einer Richterin in Deutschland?;Deutschland regieren;Recht sprechen;Pl\xe4ne erstellen;Gesetze erlassen;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
148;Was ist eine Aufgabe der Polizei in Deutschland?;das Land zu verteidigen;die B\xfcrgerinnen und B\xfcrger abzuh\xf6ren;die Gesetze zu beschlie\xdfen;die Einhaltung von Gesetzen zu \xfcberwachen;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
149;Wer kann Gerichtssch\xf6ffe / Gerichtssch\xf6ffin in Deutschland werden?;alle in Deutschland geborenen Einwohner / Einwohnerinnen \xfcber 18 Jahre;alle deutschen Staatsangeh\xf6rigen \xe4lter als 24 und j\xfcnger als 70 Jahre;alle Personen, die seit mindestens 5 Jahren in Deutschland leben;nur Personen mit einem abgeschlossenen Jurastudium;b;politik;Politik in der Demokratie;Recht und Alltag;-;
150;Ein Gerichtssch\xf6ffe / eine Gerichtssch\xf6ffin in Deutschland ist ...;der Stellvertreter / die Stellvertreterin des Stadtoberhaupts.;ein ehrenamtlicher Richter / eine ehrenamtliche Richterin.;ein Mitglied eines Gemeinderats.;eine Person, die Jura studiert hat.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
151;Wer baute die Mauer in Berlin?;Gro\xdfbritannien;die Bundesrepublik Deutschland;die DDR;die USA;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
152;Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?;1918 bis 1923;1932 bis 1950;1933 bis 1945;1945 bis 1989;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
153;Was war am 8. Mai 1945?;Tod Adolf Hitlers;Beginn des Berliner Mauerbaus;Wahl von Konrad Adenauer zum Bundeskanzler;Ende des Zweiten Weltkriegs in Europa;d;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
154;Wann war der Zweite Weltkrieg zu Ende?;1933;1945;1949;1961;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
155;Wann waren die Nationalsozialisten in Deutschland an der Macht?;1888 bis 1918;1921 bis 1934;1933 bis 1945;1949 bis 1963;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
156;In welchem Jahr wurde Hitler Reichskanzler?;1923;1927;1933;1936;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
157;Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland ...;eine Diktatur.;einen demokratischen Staat.;eine Monarchie.;ein F\xfcrstentum.;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
158;Das \x84Dritte Reich\x93 war eine ...;Diktatur.;Demokratie.;Monarchie.;R\xe4terepublik.;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
159;Was gab es in Deutschland nicht w\xe4hrend der Zeit des Nationalsozialismus?;freie Wahlen;Pressezensur;willk\xfcrliche Verhaftungen;Verfolgung der Juden;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
160;Welcher Krieg dauerte von 1939 bis 1945?;der Erste Weltkrieg;der Zweite Weltkrieg;der Vietnamkrieg;der Golfkrieg;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
161;Was kennzeichnete den NS-Staat? Eine Politik ...;des staatlichen Rassismus;der Meinungsfreiheit;der allgemeinen Religionsfreiheit;der Entwicklung der Demokratie;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
162;Claus Schenk Graf von Stauffenberg wurde bekannt durch ...;eine Goldmedaille bei den Olympischen Spielen 1936.;den Bau des Reichstagsgeb\xe4udes.;den Aufbau der Wehrmacht.;das Attentat auf Hitler am 20. Juli 1944.;d;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
163;In welchem Jahr zerst\xf6rten die Nationalsozialisten Synagogen und j\xfcdische Gesch\xe4fte in Deutschland?;1925;1930;1938;1945;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
164;Was passierte am 9. November 1938 in Deutschland?;Mit dem Angriff auf Polen beginnt der Zweite Weltkrieg.;Die Nationalsozialisten verlieren eine Wahl und l\xf6sen den Reichstag auf.;J\xfcdische Gesch\xe4fte und Synagogen werden durch Nationalsozialisten und ihre Anh\xe4nger zerst\xf6rt.;Hitler wird Reichspr\xe4sident und l\xe4sst alle Parteien verbieten.;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
165;Wie hie\xdf der erste Bundeskanzler der Bundesrepublik Deutschland?;Konrad Adenauer;Kurt Georg Kiesinger;Helmut Schmidt;Willy Brandt;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person
166;Bei welchen Demonstrationen in Deutschland riefen die Menschen \x84Wir sind das Volk\x93?;bei den Montagsdemonstrationen 1989 in der DDR;beim Arbeiteraufstand 1953 in der DDR;bei den Demonstrationen 1968 in der Bundesrepublik Deutschland;bei den Anti-Atomkraft-Demonstrationen 1985 in der Bundesrepublik Deutschland;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
167;Welche L\xe4nder wurden nach dem Zweiten Weltkrieg in Deutschland als \x84Alliierte Besatzungsm\xe4chte\x93 bezeichnet?;Sowjetunion, Gro\xdfbritannien, Polen, Schweden;Frankreich, Sowjetunion, Italien, Japan;USA, Sowjetunion, Spanien, Portugal;USA, Sowjetunion, Gro\xdfbritannien, Frankreich;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
168;Welches Land war keine \x84Alliierte Besatzungsmacht\x93 in Deutschland?;USA;Sowjetunion;Frankreich;Japan;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
169;Wann wurde die Bundesrepublik Deutschland gegr\xfcndet?;1939;1945;1949;1951;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
170;Was gab es w\xe4hrend der Zeit des Nationalsozialismus in Deutschland?;das Recht zur freien Entfaltung der Pers\xf6nlichkeit;Pressefreiheit;das Verbot von Parteien;den Schutz der Menschenw\xfcrde;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;difficult
171;Soziale Marktwirtschaft bedeutet, die Wirtschaft ...;steuert sich allein nach Angebot und Nachfrage.;wird vom Staat geplant und gesteuert, Angebot und Nachfrage werden nicht ber\xfccksichtigt.;richtet sich nach der Nachfrage im Ausland.;richtet sich nach Angebot und Nachfrage, aber der Staat sorgt f\xfcr einen sozialen Ausgleich.;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
172;In welcher Besatzungszone wurde die DDR gegr\xfcndet? In der ...;amerikanischen Besatzungszone.;franz\xf6sischen Besatzungszone.;britischen Besatzungszone.;sowjetischen Besatzungszone.;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
173;Die Bundesrepublik Deutschland ist ein Gr\xfcndungsmitglied ...;des Nordatlantikpakts (NATO).;der Vereinten Nationen (VN).;der Europ\xe4ischen Union (EU).;des Warschauer Pakts.;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
174;Wann wurde die DDR gegr\xfcndet?;1947;1949;1953;1956;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
175;Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?;3;4;5;6;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
176;Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?;1=Gro\xdfbritannien, 2=Sowjetunion, 3=Frankreich, 4=USA;1=Sowjetunion, 2=Gro\xdfbritannien, 3=USA, 4=Frankreich;1=Gro\xdfbritannien, 2=Sowjetunion, 3=USA, 4=Frankreich;1=Gro\xdfbritannien, 2=USA, 3=Sowjetunion, 4=Frankreich;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;frage_176;image
177;Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?;M\xfcnchen;Berlin;Dresden;Frankfurt/Oder;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
178;Vom Juni 1948 bis zum Mai 1949 wurden die B\xfcrger und B\xfcrgerinnen von West-Berlin durch eine Luftbr\xfccke versorgt. Welcher Umstand war daf\xfcr verantwortlich?;F\xfcr Frankreich war eine Versorgung der West-Berliner Bev\xf6lkerung mit dem Flugzeug kosteng\xfcnstiger.;Die amerikanischen Soldaten / Soldatinnen hatten beim Landtransport Angst vor \xdcberf\xe4llen.;F\xfcr Gro\xdfbritannien war die Versorgung \xfcber die Luftbr\xfccke schneller.;Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
179;Wie endete der Zweite Weltkrieg in Europa offiziell?;mit dem Tod Adolf Hitlers;durch die bedingungslose Kapitulation Deutschlands;mit dem R\xfcckzug der Deutschen aus den besetzten Gebieten;durch eine Revolution in Deutschland;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
180;Der erste Bundeskanzler der Bundesrepublik Deutschland war ...;Ludwig Erhard.;Willy Brandt.;Konrad Adenauer.;Gerhard Schr\xf6der.;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person
181;Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen j\xfcdischen Ghetto in Warschau ausdr\xfccken?;Er hat sich den ehemaligen Alliierten unterworfen.;Er bat Polen und die polnischen Juden um Vergebung.;Er zeigte seine Demut vor dem Warschauer Pakt.;Er sprach ein Gebet am Grab des Unbekannten Soldaten.;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;frage_181;image,date,person
182;Welche Parteien wurden 1946 zwangsweise zur SED vereint, der Einheitspartei der sp\xe4teren DDR?;KPD und SPD;SPD und CDU;CDU und FDP;KPD und CSU;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
183;Wann war in der Bundesrepublik Deutschland das \x84Wirtschaftswunder\x93?;40er Jahre;50er Jahre;70er Jahre;80er Jahre;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
184;Was nannten die Menschen in Deutschland sehr lange \x84Die Stunde Null\x93?;Damit wird die Zeit nach der Wende im Jahr 1989 bezeichnet.;Damit wurde der Beginn des Zweiten Weltkrieges bezeichnet.;Darunter verstand man das Ende des Zweiten Weltkrieges und den Beginn des Wiederaufbaus.;Damit ist die Stunde gemeint, in der die Uhr von der Sommerzeit auf die Winterzeit umgestellt wird.;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
185;Wof\xfcr stand der Ausdruck \x84Eiserner Vorhang\x93? F\xfcr die Abschottung ...;des Warschauer Pakts gegen den Westen.;Norddeutschlands gegen S\xfcddeutschland.;Nazi-Deutschlands gegen die Alliierten.;Europas gegen die USA.;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
186;Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?;1. Mai;17. Juni;20. Juli;9. November;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
187;Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und \xc4hrenkranz?;Preu\xdfen;Bundesrepublik Deutschland;DDR;\x84Drittes Reich\x93;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;frage_187;image
188;In welchem Jahr wurde die Mauer in Berlin gebaut?;1953;1956;1959;1961;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
189;Wann baute die DDR die Mauer in Berlin?;1919;1933;1961;1990;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
190;Was bedeutet die Abk\xfcrzung DDR?;Dritter Deutscher Rundfunk;Die Deutsche Republik;Dritte Deutsche Republik;Deutsche Demokratische Republik;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
191;Wann wurde die Mauer in Berlin f\xfcr alle ge\xf6ffnet?;1987;1989;1992;1995;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
192;Welches heutige deutsche Bundesland geh\xf6rte fr\xfcher zum Gebiet der DDR?;Brandenburg;Bayern;Saarland;Hessen;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
193;Von 1961 bis 1989 war Berlin ...;ohne B\xfcrgermeister.;ein eigener Staat.;durch eine Mauer geteilt.;nur mit dem Flugzeug erreichbar.;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
194;Am 3. Oktober feiert man in Deutschland den Tag der Deutschen ...;Einheit.;Nation.;Bundesl\xe4nder.;St\xe4dte.;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
195;Welches heutige deutsche Bundesland geh\xf6rte fr\xfcher zum Gebiet der DDR?;Hessen;Sachsen-Anhalt;Nordrhein-Westfalen;Saarland;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
196;Warum nennt man die Zeit im Herbst 1989 in der DDR \x84Die Wende\x93? In dieser Zeit ver\xe4nderte sich die DDR politisch ...;von einer Diktatur zur Demokratie.;von einer liberalen Marktwirtschaft zum Sozialismus.;von einer Monarchie zur Sozialdemokratie.;von einem religi\xf6sen Staat zu einem kommunistischen Staat.;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
197;Welches heutige deutsche Bundesland geh\xf6rte fr\xfcher zum Gebiet der DDR?;Th\xfcringen;Hessen;Bayern;Bremen;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
198;Welches heutige deutsche Bundesland geh\xf6rte fr\xfcher zum Gebiet der DDR?;Bayern;Niedersachsen;Sachsen;Baden-W\xfcrttemberg;c;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
